season,team_code,team_name,display_name,cricsheet_name,role,batting_style,bowling_style,bowling_arm,is_overseas,is_active,name_match_method
2026,CSK,Chennai Super Kings,Ruturaj Gaikwad,RD Gaikwad,Batter,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,MS Dhoni,MS Dhoni,WK-Batter,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Sanju Samson,SV Samson,WK-Batter,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Dewald Brevis,D Brevis,Batter,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Kartik Sharma,Kartik Sharma,WK-Batter,,,Unknown,0,1,exact
2026,CSK,Chennai Super Kings,Sarfaraz Khan,SN Khan,Batter,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Urvil Patel,Urvil Patel,WK-Batter,,,Unknown,0,1,exact
2026,CSK,Chennai Super Kings,Prashant Veer,Prashant Veer,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Matthew William Short,MW Short,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Aman Khan,Kamran Khan,All-Rounder,,,Unknown,0,1,fuzzy
2026,CSK,Chennai Super Kings,Zak Foulkes,Zak Foulkes,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Macneil Noronha,Macneil Noronha,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Dian Forrester,Dian Forrester,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Shivam Dube,S Dube,All-Rounder,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Noor Ahmad,Noor Ahmad,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Anshul Kamboj,AS Kamboj,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Mukesh Choudhary,Mukesh Choudhary,Bowler,,,Unknown,0,1,exact
2026,CSK,Chennai Super Kings,Shreyas Gopal,S Gopal,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Gurjapneet Singh,Gurjapneet Singh,Bowler,,,Unknown,0,1,exact
2026,CSK,Chennai Super Kings,Akeal Hosein,AJ Hosein,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Matt Henry,MJ Henry,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Rahul Chahar,RD Chahar,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Spencer Johnson,Spencer Johnson,Bowler,,,Unknown,0,1,manual_alias
2026,CSK,Chennai Super Kings,Akash Madhwal,Akash Madhwal,Bowler,,,Unknown,0,1,exact
2026,CSK,Chennai Super Kings,Kuldip Yadav,Kuldip Yadav,Bowler,,,Unknown,0,1,manual_alias
